JoystickPull_monkey3,JoystickPull_sun,JoystickPull_bOval
60.623425,198.90242499999292,223.24242499998945
210.04342499998165,269.5424249999924,228.40342499998224
238.81242499998189,279.4524249999813,233.082424999986
252.082424999986,298.13242499998887,263.082424999986
305.2624249999935,314.6824249999918,288.582424999986
356.84142499999143,404.4624249999906,293.082424999986
389.17242499998247,477.980425,368.2824249999831
423.40242499999295,503.201425,498.1604249999946
440.5514249999833,540.8214249999874,535.5104249999858
510.2414249999856,643.7704249999952,660.5704249999835
556.3604249999917,670.0394249999954,665.5804249999928
565.6004249999824,710.9494249999843,705.6094249999878
596.7204249999922,729.1794249999948,718.1504249999853
606.5104249999858,803.8494249999931,722.8394249999837
650.2904249999847,923.198425,747.1794249999948
685.3204249999835,930.0284249999822,752.7294249999832
694.7394249999925,937.9684249999846,791.5784249999851
757.3394249999837,973.628425,797.7194249999884
826.1294249999919,998.4184249999817,810.9784249999939
852.6484249999921,1031.728424999994,842.4594249999936
862.5384249999915,1114.687424999982,847.6184249999933
872.2784249999822,1597.603424999994,885.5884249999945
958.7384249999886,1680.7744249999814,912.2784249999822
1057.7374249999848,1737.1534249999822,951.398424999992
1077.3374249999906,1829.4724249999852,988.0374249999876
1104.5074249999889,1840.283424999987,993.358425
1588.934424999985,1920.5724249999912,1010.2974249999824
1609.704424999989,1977.5424249999924,1015.2684249999876
1644.8244249999843,2004.181424999988,1584.2744249999814
1658.974424999993,2013.9624249999904,1603.954424999989
1693.0634249999855,2065.2714249999844,1671.8634249999886
1727.1334249999927,2114.0614249999926,1761.5134249999828
1748.5834249999898,2147.9904249999818,1769.6534249999822
1805.912424999988,2168.960424999983,1776.803424999991
1818.7934249999817,2188.881424999985,1785.4534249999851
1855.5634249999855,2234.860424999992,1797.8634249999886
1865.8424249999955,2638.537424999988,1850.5424249999924
1884.162424999988,2667.2174249999957,1879.3124249999817
1936.872424999994,2678.377424999984,1899.182424999992
1962.5424249999924,2700.5674249999865,1908.662424999988
2075.421424999993,2711.767424999984,2028.3914249999943
2090.2414249999856,2942.7854249999946,2033.3914249999943
2123.580424999993,,2102.651424999989
2157.250424999991,,2602.0684249999904
2180.6504249999853,,2608.478424999994
2221.7404249999818,,2633.437424999982
2885.7364249999955,,2660.098424999989
,,2743.8574249999947
,,2748.367424999989
,,2935.956424999982
